linha_csv;demandante;situacao;motivo;plano;numero_item;classe;valor_total;descricao
724;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;369;4110;8000.0;Aparelhos eletrodomésticos em geral e mobília REFRIGERADOR | 449052
728;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;370;8415;17280.5;Vestuário e complementos masculinos e feminino COLDRE para Pistola, em polímero, possui trava superior, Universal para pistolas e mas | 339030
732;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;371;5340;547.65;Ferragens e artefatos de metal, de plástico abrasivo Fechadura, material: metal | 339030
736;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;372;5340;1610.1;Materiais para instalação hidráulica Chuveiro elétrico,, material: pvc, tipo: ducha, tensão: 220 volts, potência: 5500 watts | 339030
740;COMAP;publicado com pendência;unidade_fornecimento_ausente;170394;373;3960;172340.0;Plataformas elevatórias | 449052
741;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;374;3432;20181.1;Máquinas, máquinas e equipamentos diversos POLIDOR DE SAPATOS ELÉTRICO, máquina elétrica de polir e lustrar sapatos | 449052
746;COMAV;publicado com pendência;unidade_fornecimento_ausente;170394;375;8729;3255000.0;PRESTAÇÃO DE SERVIÇOS POR HOMEM HORA DE 3º E 4º NÍVEIS DE MANUTENÇÃO (SAFRAN) | 339039
747;GPCIV;publicado com pendência;unidade_fornecimento_ausente;170394;376;7195;2500.0;Quadro branco, material: chapa de fibra de madeira, moldura: alumínio | 449052
748;DIREN;publicado com pendência;unidade_fornecimento_ausente;170394;377;9290;2379.0;Doctorat en Sécurité Civile, Gestion des Risques et Résilience Territoriale | 339039
749;DITIC;publicado com pendência;unidade_fornecimento_ausente;170394;378;1674;300000.0;Aquisição de solução de certificação digital (e-CPF, e-CNPJ e SSL para servidores) | 339039
750;COMAP;publicado com pendência;unidade_fornecimento_ausente;170394;379;8729;5679978.0;Contrato de Manutenção Predial 2027 - 2029 | 339039
751;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;380;9130;11392905.17;Prestação de serviços de Fornecimento de Combustíveis líquidos, Diesel 500 e S10, Gasolina Comum e Arla32 | 339030
755;CEABM;publicado com pendência;unidade_fornecimento_ausente;170394;381;7010;105000.0;Desktop completos | 449052
757;GBS;publicado com pendência;unidade_fornecimento_ausente,mes_ausente;170394;382;4240;274750.0;CAPACETE DE SALVAMENTO. Equipamento de proteção individual destinado a operações de salvamento e resgate, proporcionando proteção, conforto e segurança ao usuário. Deve possibilitar a instalação de acessórios que ampliem sua | 449052
759;GPCIV;publicado com pendência;unidade_fornecimento_ausente;170394;384;9999;140000.0;Kit portátil de Sistema de Comando de Incidentes (SCI), tipo maleta, destinado ao gerenciamento operacional de ocorrências. Ao ser aberto, deverá disponibilizar, em um único painel integrado | 339030
760;DIREN;publicado com pendência;unidade_fornecimento_ausente;170394;385;9290;26157.96;Curso de Identificação Biométrica (a ser realizado na Escola de Instrução Especializada (EsIE), na cidade do Rio de Janeiro/RJ) | 339039
761;DITIC;publicado com pendência;unidade_fornecimento_ausente,classe_sugerida;170394;386;7010;2475000.0;Solução de segurança p/ estações de trabalho | 449052
774;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;390;4940;100.0;Material para pintura, impermeabilização e colagem MANTA ASFÁLTICA | 449052
778;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;391;4940;100.0;Ferragens e artefatos de metal, de plástico abrasivo ELETRODUTO EM PVC, preta, bitola de 3/4 de polegada, barra com 3 metros | 449052
782;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;392;4940;1400.0;Material para pintura, impermeabilização e colagem MASSA CORRIDA | 449052
786;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;393;4940;1006.8;Espelhos e materiais para vidraçaria ESPELHO para banheiro 2200mm x 900mm x 4mm | 449052
794;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;395;4940;110000.1;Ferragens e artefatos de metal, de plástico abrasivo CREDENZA TRIPLA | 449052
798;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;396;7105;2151000.0;Ferragens e artefatos de metal, de plástico abrasivo ARMÁRIO ALTO II | 449052
802;COMAP;publicado com pendência;unidade_fornecimento_ausente;170394;397;8729;350000.0;Contrato de manutenção de aparelhos de ar condicionado - Licitação a ser concluida para 2027 | 339039
803;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;398;4110;4750.0;Aparelhos e central de ar condicionado AR CONDICIONADO | 449052
807;GBS;publicado com pendência;unidade_fornecimento_ausente,mes_ausente;170394;399;4240;59120.0;POLIA DUPLA COM ANTI-RETORNO E CAPTURA DE PROGRESSO. Polia destinada a sistemas de tração e salvamento, projetada para permitir captura e bloqueio automático de progresso durante a operação | 449052
809;DIREN;publicado com pendência;unidade_fornecimento_ausente;170394;401;9290;25000.0;QUALIFICAÇÃO AVIÔNICOS, CELULA E MOTOR DO H125 B3 | 339039
810;DITIC;publicado com pendência;unidade_fornecimento_ausente;170394;402;1741;1100000.0;Plataforma low-code/no-code Singular Studio | 339039
811;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;403;4110;1500.0;Bebedouro elétrico e ventilador de coluna, mesa ou parede BEBEDOURO | 449052
